YEAR  CanESM5  CNRM-ESM2-1  IPSL-CM6A-LR  
1851.00 0.3248 0.1517 -0.3308       
1852.00 0.1864 -0.2179 -0.0589       
1853.00 0.0517 0.3872 0.0225       
1854.00 0.2096 0.0365 -0.0165       
1855.00 -0.0822 0.1642 -0.0434       
1856.00 0.1731 -0.2901 -0.0556       
1857.00 0.6976 0.4044 0.0205       
1858.00 0.3205 0.6292 0.2595       
1859.00 0.1870 0.1036 0.0500       
1860.00 0.1591 0.1691 -0.0148       
1861.00 0.8181 0.7630 0.2573       
1862.00 0.9076 1.1527 0.5249       
1863.00 0.7213 0.6727 0.2198       
1864.00 0.6745 -0.3200 0.1336       
1865.00 0.7729 0.6018 0.2190       
1866.00 0.3513 0.7263 0.5167       
1867.00 0.5541 0.6174 0.1038       
1868.00 0.7200 0.4862 0.2020       
1869.00 0.5697 0.5602 0.1793       
1870.00 0.6562 0.5735 0.3035       
1871.00 0.3474 0.3145 0.1271       
1872.00 0.8335 0.3075 0.0787       
1873.00 1.0181 0.3182 0.2992       
1874.00 0.4940 1.0174 0.4478       
1875.00 0.8634 0.9591 0.5984       
1876.00 0.6121 1.0158 0.4857       
1877.00 0.6655 0.9478 0.3111       
1878.00 0.7350 0.4778 0.4903       
1879.00 0.7195 1.1774 0.4681       
1880.00 0.6365 0.4361 0.4265       
1881.00 0.9425 0.5867 0.7278       
1882.00 1.0245 0.9684 0.6142       
1883.00 1.0605 1.5803 0.5072       
1884.00 1.4477 1.3971 1.1478       
1885.00 1.1211 1.4798 0.8631       
1886.00 0.9710 1.0556 1.1405       
1887.00 1.1733 1.4048 0.8745       
1888.00 0.9717 1.3838 0.7641       
1889.00 0.7377 1.7317 0.8739       
1890.00 0.8647 1.2425 1.0614       
1891.00 0.9513 1.6594 0.9721       
1892.00 1.3261 1.3458 0.8612       
1893.00 1.1969 0.6246 0.6383       
1894.00 0.9177 1.2584 0.5993       
1895.00 0.7400 1.5842 0.6336       
1896.00 0.7285 0.9303 1.0510       
1897.00 0.8066 0.4830 0.7271       
1898.00 0.8898 1.1977 0.8317       
1899.00 1.0106 1.9246 1.0276       
1900.00 1.2829 1.4408 1.1446       
1901.00 1.1058 1.6332 0.8784       
1902.00 0.8645 1.7411 0.9618       
1903.00 0.8065 1.4947 1.1030       
1904.00 1.0032 1.1597 0.8662       
1905.00 0.9702 1.9468 1.1369       
1906.00 0.8994 2.1855 1.2177       
1907.00 1.2912 1.2159 1.2914       
1908.00 0.8797 1.4794 1.1616       
1909.00 1.2617 2.2913 1.4026       
1910.00 1.2171 2.0492 1.3399       
1911.00 0.8497 2.1456 1.3458       
1912.00 1.0138 2.4198 1.5239       
1913.00 1.9743 2.4691 1.5823       
1914.00 1.4202 2.6466 1.6580       
1915.00 1.0668 2.6516 1.6469       
1916.00 1.5320 2.3057 1.9757       
1917.00 1.6836 2.5278 1.7241       
1918.00 1.1161 2.6261 1.3178       
1919.00 1.2093 2.2314 1.1642       
1920.00 1.4935 2.8734 1.6088       
1921.00 1.1093 1.6872 1.5391       
1922.00 0.9629 1.9979 1.3927       
1923.00 1.0767 1.7713 1.4844       
1924.00 1.5071 2.7105 1.3937       
1925.00 0.5406 1.9295 0.9234       
1926.00 0.5245 1.4969 0.8481       
1927.00 0.5686 1.7838 1.0772       
1928.00 0.7079 1.1133 0.5871       
1929.00 0.5588 1.8117 0.9993       
1930.00 0.2098 1.6776 0.8694       
1931.00 0.7076 0.9758 0.8347       
1932.00 1.0093 2.0469 1.0650       
1933.00 0.8027 1.9047 1.1711       
1934.00 0.9936 1.7016 1.3820       
1935.00 1.3325 2.2454 1.5092       
1936.00 1.7928 2.2750 2.0762       
1937.00 1.9744 2.6615 2.2243       
1938.00 1.5098 2.4854 1.9903       
1939.00 1.1560 2.9534 1.8479       
1940.00 1.2058 2.5415 1.8218       
1941.00 1.2282 2.5601 1.6199       
1942.00 1.1075 1.9795 1.3429       
1943.00 0.7870 2.4136 1.0937       
1944.00 0.0094 1.4687 0.4985       
1945.00 0.0949 1.3276 0.4682       
1946.00 -0.0651 1.6301 0.6177       
1947.00 0.1370 0.5548 0.4364       
1948.00 0.1186 1.1418 0.1261       
1949.00 0.1111 1.4759 0.5596       
1950.00 -0.1795 1.6688 0.3887       
1951.00 0.0341 2.0908 0.4492       
1952.00 0.7003 1.6337 0.9157       
1953.00 0.9265 2.0369 0.8651       
1954.00 0.8292 1.4992 1.0984       
1955.00 0.3153 1.6821 0.7642       
1956.00 0.4913 1.7338 0.5676       
1957.00 0.4906 0.7488 0.4114       
1958.00 0.6887 1.8979 0.7760       
1959.00 0.6065 1.9090 1.2063       
1960.00 1.4860 3.1055 1.7544       
1961.00 1.2802 2.7464 1.9155       
1962.00 1.5652 3.3877 2.3427       
1963.00 1.6717 3.3376 1.9043       
1964.00 1.7535 3.7740 2.4595       
1965.00 1.2187 2.7097 1.9650       
1966.00 2.9689 4.3527 3.0468       
1967.00 1.7419 2.8037 1.6800       
1968.00 2.1795 4.0485 2.7767       
1969.00 1.9539 3.6099 2.8820       
1970.00 3.7513 6.3047 4.4095       
1971.00 1.5866 4.1601 2.6689       
1972.00 4.7183 6.4781 5.3640       
1973.00 6.4027 8.5198 6.9878       
1974.00 2.8419 4.4163 3.3002       
1975.00 1.0433 2.8638 1.8675       
1976.00 2.6312 4.0836 3.0764       
1977.00 5.2392 6.4306 5.7539       
1978.00 4.5275 6.7015 5.3943       
1979.00 4.4712 6.2534 5.0519       
1980.00 5.3091 7.6501 6.2189       
1981.00 3.9071 5.4489 4.9673       
1982.00 2.4811 4.2202 3.3166       
1983.00 4.8916 6.4384 5.6575       
1984.00 4.8475 6.8929 5.8953       
1985.00 4.6627 6.2904 5.3371       
1986.00 4.7818 5.7960 5.3864       
1987.00 5.6912 7.7171 6.3296       
1988.00 6.9664 8.7636 7.8598       
1989.00 5.0712 7.0546 5.8250       
1990.00 4.0375 5.5556 5.0586       
1991.00 4.3250 6.6077 5.5118       
1992.00 4.5514 5.5887 4.7688       
1993.00 3.7591 5.7569 4.4127       
1994.00 5.1777 6.3990 5.8969       
1995.00 6.9381 8.4348 7.3861       
1996.00 6.3804 7.6684 6.8763       
1997.00 5.0328 6.3047 5.3914       
1998.00 8.4014 9.4452 9.0943       
1999.00 7.0100 8.3282 7.4821       
2000.00 5.0526 6.5977 5.6921       
2001.00 4.8768 6.7456 6.3148       
2002.00 6.1307 9.6805 8.1751       
2003.00 7.7346 9.6085 8.7978       
2004.00 6.0623 7.5269 6.7576       
2005.00 6.8202 8.2356 7.6806       
2006.00 7.4449 9.2012 8.0700       
2007.00 6.6019 7.6092 7.3147       
2008.00 7.3795 8.7517 8.6216       
2009.00 5.8645 7.7662 6.6456       
2010.00 8.0971 8.9433 8.3300       
2011.00 7.5245 8.7546 8.5384       
2012.00 6.9760 8.6051 8.5037       
2013.00 8.4459 10.0157 9.3118       
2014.00 6.6994 8.8648 7.6186       
2015.00 8.3806 9.9210 9.6974       
2016.00 10.4894 10.8043 10.2095       
2017.00 8.7596 10.1186 9.1972       
2018.00 9.1293 11.1427 10.8176       
2019.00 10.6357 11.5843 9.6186       
2020.00 10.3935 10.4732 10.1179       
2021.00 9.5472 10.8796 9.9432       
2022.00 10.0955 11.7958 11.1169       
2023.00 10.0845 11.8453 11.7724       
2024.00 10.6986 11.8890 10.8149       
2025.00 11.2743 11.6708 9.8086       
2026.00 11.1313 11.8618 11.3568       
2027.00 10.6997 12.2346 12.2500       
2028.00 11.3472 13.0712 11.4659       
2029.00 12.9011 12.8910 11.2223       
2030.00 10.9560 12.9423 11.9847       
2031.00 11.4648 13.8976 13.0467       
2032.00 13.2612 13.5857 11.9436       
2033.00 13.2775 13.7054 12.4906       
2034.00 13.2339 13.3795 12.5456       
2035.00 12.7233 13.6334 13.1556       
2036.00 13.0361 13.8513 12.1882       
2037.00 11.7725 14.3280 12.5906       
2038.00 14.1485 13.8857 13.0476       
2039.00 13.6377 14.5411 13.1978       
2040.00 13.4101 13.5142 13.7237       
2041.00 13.7417 15.3168 13.0307       
2042.00 13.7590 13.8962 13.1244       
2043.00 14.0953 14.6489 13.4615       
2044.00 14.7075 14.8343 13.3470       
2045.00 14.8275 14.5685 13.0061       
2046.00 14.5700 15.3601 13.1189       
2047.00 13.4097 14.9784 14.5896       
2048.00 14.3306 14.5949 11.8347       
2049.00 15.5073 14.3982 13.6983       
2050.00 14.9794 14.1144 13.4757       
2051.00 15.6027 15.1799 13.6504       
2052.00 14.9162 14.8014 14.5735       
2053.00 15.2009 15.4981 13.5263       
2054.00 14.6509 14.8835 13.2131       
2055.00 16.4065 15.3520 13.6555       
2056.00 14.5947 14.7128 13.9845       
2057.00 14.1311 14.4850 12.5628       
2058.00 16.6401 15.0271 12.8433       
2059.00 16.9331 14.3029 13.0052       
2060.00 16.0920 15.1527 13.8592       
2061.00 14.9905 14.3341 14.3582       
2062.00 14.5423 13.8476 13.4235       
2063.00 16.9800 15.0250 12.7448       
2064.00 13.4198 14.1637 13.8024       
2065.00 15.2068 15.4937 13.9532       
2066.00 16.9736 14.1253 12.3735       
2067.00 15.8921 14.1791 11.7630       
2068.00 13.6966 14.6102 13.7545       
2069.00 15.1624 13.5752 14.2729       
2070.00 14.8008 14.5571 13.4919       
2071.00 16.1678 14.1663 12.3479       
2072.00 15.8130 13.4858 11.8760       
2073.00 15.0331 12.9242 12.2705       
2074.00 15.3702 14.1572 11.3255       
2075.00 14.5337 13.1864 12.9706       
2076.00 15.7231 13.0122 12.7897       
2077.00 15.2056 12.3980 11.1568       
2078.00 12.5477 12.5957 11.1938       
2079.00 11.8218 12.6766 12.3125       
2080.00 15.5762 11.9658 10.8087       
2081.00 15.0624 11.8458 12.1685       
2082.00 14.8443 12.6145 9.8946       
2083.00 13.5650 11.7392 12.2268       
2084.00 13.6485 10.5546 9.6877       
2085.00 14.0045 11.6254 11.0869       
2086.00 12.7545 10.5368 9.8824       
2087.00 13.4449 10.9393 9.3780       
2088.00 13.4791 10.7545 10.8123       
2089.00 13.2333 9.7660 10.8916       
2090.00 12.1348 10.2486 8.2534       
2091.00 10.7805 9.7293 9.7134       
2092.00 12.8593 9.6384 9.3919       
2093.00 12.2237 9.5925 8.9188       
2094.00 10.0155 8.9700 9.2379       
2095.00 11.9417 8.7748 8.5855       
2096.00 13.2847 8.4542 7.7957       
2097.00 11.6225 8.8147 7.5916       
2098.00 10.0017 7.8110 7.5613       
2099.00 9.0773 8.4503 7.9792       
2100.00 10.5014 7.1556 8.7500       
