YEAR   CanESM5   CNRM-ESM2-1   IPSL-CM6A-LR   MIROC-ES2L   UKESM1-0-LL 
1850.00 286.5460 286.7290 285.8730 288.1130 286.5340 
1851.00 286.5630 286.7990 285.9120 288.1340 286.5430 
1852.00 286.5520 286.8430 285.9330 288.1550 286.5320 
1853.00 286.5770 286.7370 285.9230 288.1680 286.5800 
1854.00 286.5660 286.7560 285.9310 288.1050 286.5710 
1855.00 286.5790 286.7080 285.9370 288.1690 286.5440 
1856.00 286.6090 286.7240 285.9210 288.2790 286.5880 
1857.00 286.5780 286.7450 285.9380 288.2790 286.5620 
1858.00 286.5880 286.6580 285.9180 288.1390 286.5990 
1859.00 286.6320 286.7630 285.9620 288.1880 286.6320 
1860.00 286.6050 286.7740 285.9700 288.2520 286.6230 
1861.00 286.5500 286.7290 285.9190 288.1840 286.5440 
1862.00 286.5010 286.6780 285.8370 288.1350 286.5050 
1863.00 286.5130 286.7100 285.9020 288.1390 286.5160 
1864.00 286.5000 286.7990 285.9450 288.1990 286.5350 
1865.00 286.4940 286.7020 285.9490 288.3640 286.5260 
1866.00 286.5440 286.7390 285.9470 288.2150 286.5630 
1867.00 286.5790 286.7750 285.9770 288.0910 286.5590 
1868.00 286.5830 286.7650 285.9830 288.1050 286.5440 
1869.00 286.5940 286.7520 285.9850 288.2170 286.5410 
1870.00 286.5780 286.7780 285.9830 288.2700 286.5420 
1871.00 286.6170 286.7880 285.9810 288.2820 286.5460 
1872.00 286.6010 286.7720 286.0060 288.3280 286.5730 
1873.00 286.5700 286.7840 285.9730 288.1820 286.5610 
1874.00 286.5650 286.7580 285.9450 288.1360 286.5560 
1875.00 286.5810 286.7600 285.9610 288.2750 286.5100 
1876.00 286.6030 286.7420 285.9930 288.3740 286.5050 
1877.00 286.6160 286.8050 285.9610 288.2710 286.5310 
1878.00 286.6590 286.8160 285.9860 288.1450 286.5490 
1879.00 286.6560 286.7280 285.9920 288.1950 286.5190 
1880.00 286.6300 286.7520 286.0040 288.2100 286.5330 
1881.00 286.5820 286.8030 285.9830 288.2140 286.5380 
1882.00 286.5770 286.7640 286.0080 288.2110 286.4960 
1883.00 286.5420 286.7750 285.9770 288.1580 286.4960 
1884.00 286.2450 286.6410 285.6900 287.9620 286.2780 
1885.00 286.2920 286.6260 285.7300 287.9920 286.3200 
1886.00 286.3660 286.6880 285.8090 288.0100 286.3840 
1887.00 286.4210 286.6950 285.8570 288.0960 286.4060 
1888.00 286.4960 286.7170 285.9280 288.1700 286.4440 
1889.00 286.5250 286.7120 285.9350 288.1000 286.4720 
1890.00 286.5190 286.7340 285.9110 288.0980 286.4640 
1891.00 286.4860 286.7270 285.8550 288.0060 286.4320 
1892.00 286.4920 286.6700 285.8940 288.1160 286.4630 
1893.00 286.5420 286.7880 285.9450 288.0980 286.4860 
1894.00 286.5580 286.8490 286.0160 288.0510 286.5140 
1895.00 286.6290 286.7370 286.0080 288.1640 286.5300 
1896.00 286.6230 286.7740 285.9950 288.1590 286.5240 
1897.00 286.6110 286.7780 286.0240 288.1900 286.5200 
1898.00 286.6120 286.8170 286.0050 288.2090 286.5510 
1899.00 286.6220 286.7880 286.0140 288.1590 286.5110 
1900.00 286.6250 286.8120 286.0500 288.2130 286.4880 
1901.00 286.6430 286.8160 286.0480 288.2590 286.4760 
1902.00 286.6250 286.7620 286.0370 288.3050 286.5510 
1903.00 286.4490 286.6700 285.8560 287.9930 286.3860 
1904.00 286.4790 286.7220 285.9200 288.1180 286.3760 
1905.00 286.5430 286.6770 285.9700 288.1530 286.4360 
1906.00 286.5530 286.7220 285.9930 288.0960 286.4860 
1907.00 286.5560 286.8110 286.0030 288.1510 286.4420 
1908.00 286.5930 286.7600 286.0290 288.1820 286.4810 
1909.00 286.5900 286.8040 286.0090 288.1940 286.4370 
1910.00 286.5960 286.7870 286.0440 288.2940 286.4650 
1911.00 286.6680 286.8630 286.0670 288.3190 286.5380 
1912.00 286.5890 286.6970 286.0030 288.1790 286.4650 
1913.00 286.5250 286.7180 285.9650 288.0230 286.4310 
1914.00 286.5430 286.6970 286.0010 288.0940 286.4140 
1915.00 286.6380 286.7460 286.0190 288.2610 286.4410 
1916.00 286.5990 286.7530 286.0030 288.2490 286.4870 
1917.00 286.6720 286.8260 286.0840 288.2180 286.4530 
1918.00 286.7100 286.7870 286.1120 288.1120 286.5220 
1919.00 286.7270 286.8060 286.1310 288.2480 286.5130 
1920.00 286.7130 286.7930 286.1160 288.3710 286.5110 
1921.00 286.7200 286.8610 286.1230 288.1860 286.5060 
1922.00 286.7990 286.8210 286.0990 288.1740 286.5510 
1923.00 286.7670 286.8140 286.0950 288.1920 286.5400 
1924.00 286.7360 286.8030 286.1320 288.3430 286.5630 
1925.00 286.7840 286.7760 286.1400 288.3010 286.5760 
1926.00 286.7810 286.8330 286.1550 288.2180 286.5810 
1927.00 286.8010 286.8570 286.1800 288.2660 286.5660 
1928.00 286.8160 286.9180 286.2130 288.2960 286.5320 
1929.00 286.7830 286.8520 286.1560 288.4030 286.4730 
1930.00 286.7670 286.8270 286.1590 288.4120 286.5690 
1931.00 286.7760 286.9140 286.1880 288.2040 286.5290 
1932.00 286.8150 286.8120 286.1940 288.2120 286.5260 
1933.00 286.8040 286.7950 286.1830 288.2220 286.5570 
1934.00 286.7840 286.8180 286.1860 288.3190 286.5490 
1935.00 286.7980 286.7250 286.1880 288.4330 286.5210 
1936.00 286.7920 286.8430 286.2080 288.3480 286.5500 
1937.00 286.8440 286.7810 286.2100 288.2640 286.5670 
1938.00 286.8670 286.8680 286.2120 288.3400 286.5670 
1939.00 286.8860 286.7400 286.2190 288.5140 286.5930 
1940.00 286.8820 286.8190 286.2160 288.5830 286.5630 
1941.00 286.8750 286.8160 286.2330 288.3280 286.5490 
1942.00 286.8830 286.7990 286.2250 288.2580 286.5440 
1943.00 286.8670 286.7420 286.2330 288.2680 286.5560 
1944.00 286.8780 286.8330 286.2420 288.5500 286.6140 
1945.00 286.8390 286.7950 286.2370 288.5480 286.6150 
1946.00 286.8720 286.7680 286.2390 288.3580 286.6220 
1947.00 286.8880 286.8260 286.2870 288.3070 286.5930 
1948.00 286.8680 286.8340 286.3340 288.4670 286.5960 
1949.00 286.8830 286.8400 286.3100 288.5170 286.5630 
