YEAR  CanESM5  CNRM-ESM2-1  IPSL-CM6A-LR  
1850.00 286.5460 286.7290 285.8730       
1851.00 286.5630 286.7990 285.9120       
1852.00 286.5520 286.8430 285.9330       
1853.00 286.5770 286.7370 285.9230       
1854.00 286.5660 286.7560 285.9310       
1855.00 286.5790 286.7080 285.9370       
1856.00 286.6090 286.7240 285.9210       
1857.00 286.5780 286.7450 285.9380       
1858.00 286.5880 286.6580 285.9180       
1859.00 286.6320 286.7630 285.9620       
1860.00 286.6050 286.7740 285.9700       
1861.00 286.5500 286.7290 285.9190       
1862.00 286.5010 286.6780 285.8370       
1863.00 286.5130 286.7100 285.9020       
1864.00 286.5000 286.7990 285.9450       
1865.00 286.4940 286.7020 285.9490       
1866.00 286.5440 286.7390 285.9470       
1867.00 286.5790 286.7750 285.9770       
1868.00 286.5830 286.7650 285.9830       
1869.00 286.5940 286.7520 285.9850       
1870.00 286.5780 286.7780 285.9830       
1871.00 286.6170 286.7880 285.9810       
1872.00 286.6010 286.7720 286.0060       
1873.00 286.5700 286.7840 285.9730       
1874.00 286.5650 286.7580 285.9450       
1875.00 286.5810 286.7600 285.9610       
1876.00 286.6030 286.7420 285.9930       
1877.00 286.6160 286.8050 285.9610       
1878.00 286.6590 286.8160 285.9860       
1879.00 286.6560 286.7280 285.9920       
1880.00 286.6300 286.7520 286.0040       
1881.00 286.5820 286.8030 285.9830       
1882.00 286.5770 286.7640 286.0080       
1883.00 286.5420 286.7750 285.9770       
1884.00 286.2450 286.6410 285.6900       
1885.00 286.2920 286.6260 285.7300       
1886.00 286.3660 286.6880 285.8090       
1887.00 286.4210 286.6950 285.8570       
1888.00 286.4960 286.7170 285.9280       
1889.00 286.5250 286.7120 285.9350       
1890.00 286.5190 286.7340 285.9110       
1891.00 286.4860 286.7270 285.8550       
1892.00 286.4920 286.6700 285.8940       
1893.00 286.5420 286.7880 285.9450       
1894.00 286.5580 286.8490 286.0160       
1895.00 286.6290 286.7370 286.0080       
1896.00 286.6230 286.7740 285.9950       
1897.00 286.6110 286.7780 286.0240       
1898.00 286.6120 286.8170 286.0050       
1899.00 286.6220 286.7880 286.0140       
1900.00 286.6250 286.8120 286.0500       
1901.00 286.6430 286.8160 286.0480       
1902.00 286.6250 286.7620 286.0370       
1903.00 286.4490 286.6700 285.8560       
1904.00 286.4790 286.7220 285.9200       
1905.00 286.5430 286.6770 285.9700       
1906.00 286.5530 286.7220 285.9930       
